Source IP,Destination IP,Protocol,Source Port,Destination Port
192.168.1.1,192.168.1.255,UDP,35699,9995
192.168.1.7,224.0.0.251,OTHER,-,-
192.168.1.7,192.168.1.1,UDP,34139,53
192.168.1.1,192.168.1.7,UDP,53,34139
192.168.1.7,185.125.190.98,TCP,33920,80
185.125.190.98,192.168.1.7,TCP,80,33920
192.168.1.7,185.125.190.98,TCP,33920,80
192.168.1.7,185.125.190.98,TCP,33920,80
185.125.190.98,192.168.1.7,TCP,80,33920
185.125.190.98,192.168.1.7,TCP,80,33920
192.168.1.7,185.125.190.98,TCP,33920,80
192.168.1.7,185.125.190.98,TCP,33920,80
185.125.190.98,192.168.1.7,TCP,80,33920
192.168.1.7,192.168.1.1,UDP,45688,53
192.168.1.1,192.168.1.7,UDP,53,45688
