Source IP,Destination IP,Protocol,Source Port,Destination Port
10.24.75.29,224.0.0.251,UDP,5353,5353
10.24.75.29,224.0.0.251,UDP,5353,5353
10.24.65.207,224.0.0.251,UDP,5353,5353
10.24.74.59,224.0.0.22,OTHER,-,-
10.24.82.103,10.24.95.255,UDP,137,137
10.24.82.103,10.24.95.255,UDP,137,137
10.24.77.182,224.0.0.251,UDP,5353,5353
10.24.77.182,224.0.0.251,UDP,5353,5353
10.24.82.103,224.0.0.252,UDP,52938,5355
10.24.74.59,224.0.0.22,OTHER,-,-
10.24.77.220,224.0.0.22,OTHER,-,-
10.24.74.59,224.0.0.251,UDP,5353,5353
10.24.74.59,224.0.0.251,UDP,5353,5353
10.24.77.220,224.0.0.251,UDP,5353,5353
10.24.74.59,224.0.0.251,UDP,5353,5353
10.24.74.59,224.0.0.251,UDP,5353,5353
10.24.74.59,224.0.0.251,UDP,5353,5353
10.24.77.163,10.24.95.255,UDP,137,137
10.24.76.192,224.0.0.251,UDP,5353,5353
10.24.75.71,224.0.0.251,UDP,5353,5353
10.24.77.182,224.0.0.251,UDP,5353,5353
10.24.77.138,224.0.0.251,UDP,5353,5353
10.24.76.164,224.0.0.251,UDP,5353,5353
10.24.76.164,224.0.0.251,UDP,5353,5353
10.24.76.164,224.0.0.251,UDP,5353,5353
10.24.76.146,224.0.0.251,UDP,5353,5353
10.24.77.205,224.0.0.251,UDP,5353,5353
10.24.77.182,224.0.0.251,UDP,5353,5353
10.24.77.224,224.0.0.251,UDP,5353,5353
10.24.74.195,224.0.0.251,UDP,5353,5353
10.24.85.34,224.0.0.251,UDP,5353,5353
10.24.77.173,224.0.0.251,UDP,5353,5353
10.24.77.2,224.0.0.251,UDP,5353,5353
10.24.74.133,224.0.0.251,UDP,5353,5353
10.24.76.122,224.0.0.251,UDP,5353,5353
10.24.82.103,224.0.0.22,OTHER,-,-
10.24.75.237,224.0.0.251,UDP,5353,5353
10.24.77.216,224.0.0.251,UDP,5353,5353
10.24.76.16,224.0.0.251,UDP,5353,5353
10.24.75.155,239.255.255.250,UDP,50872,1900
10.24.82.103,224.0.0.22,OTHER,-,-
10.24.75.155,224.0.0.251,UDP,5353,5353
10.24.77.90,224.0.0.251,UDP,5353,5353
10.24.75.154,224.0.0.251,UDP,5353,5353
10.24.76.164,224.0.0.251,UDP,5353,5353
10.24.75.155,224.0.0.251,UDP,5353,5353
10.24.77.238,224.0.0.251,UDP,5353,5353
10.24.76.34,224.0.0.251,UDP,5353,5353
10.24.77.125,239.255.255.250,UDP,58925,1900
10.24.82.238,224.0.0.251,UDP,5353,5353
10.24.80.214,224.0.0.251,UDP,5353,5353
10.24.77.182,224.0.0.251,UDP,5353,5353
10.24.77.234,224.0.0.251,UDP,5353,5353
10.24.76.189,224.0.0.251,UDP,5353,5353
10.24.77.182,224.0.0.251,UDP,5353,5353
10.24.76.146,224.0.0.251,UDP,5353,5353
10.24.85.34,224.0.0.251,UDP,5353,5353
10.24.77.205,224.0.0.251,UDP,5353,5353
10.24.82.103,224.0.0.252,UDP,52938,5355
10.24.77.173,224.0.0.251,UDP,5353,5353
10.24.77.43,224.0.0.251,UDP,5353,5353
10.24.75.71,224.0.0.251,UDP,5353,5353
10.24.77.238,224.0.0.251,UDP,5353,5353
10.24.77.170,224.0.0.251,UDP,5353,5353
10.24.75.154,224.0.0.251,UDP,5353,5353
10.24.82.238,224.0.0.251,UDP,5353,5353
10.24.77.220,224.0.0.251,UDP,5353,5353
10.24.74.9,224.0.0.251,UDP,5353,5353
10.24.73.31,224.0.0.251,UDP,5353,5353
10.24.76.34,224.0.0.251,UDP,5353,5353
10.24.77.182,224.0.0.251,UDP,5353,5353
10.24.77.182,224.0.0.251,UDP,5353,5353
10.24.73.31,239.255.255.250,UDP,39832,1900
10.24.77.224,224.0.0.251,UDP,5353,5353
10.24.74.59,224.0.0.22,OTHER,-,-
10.24.82.103,224.0.0.22,OTHER,-,-
10.24.82.103,10.24.95.255,UDP,137,137
10.24.77.220,224.0.0.251,UDP,5353,5353
10.24.77.234,224.0.0.251,UDP,5353,5353
10.24.77.182,224.0.0.251,UDP,5353,5353
10.24.77.163,10.24.95.255,UDP,137,137
10.24.82.103,224.0.0.252,UDP,54993,5355
10.24.77.182,224.0.0.251,UDP,5353,5353
10.24.75.38,224.0.0.251,UDP,5353,5353
10.24.76.250,224.0.0.251,UDP,5353,5353
10.24.95.232,224.0.0.22,OTHER,-,-
10.24.75.71,224.0.0.251,UDP,5353,5353
10.24.77.182,224.0.0.251,UDP,5353,5353
10.24.75.29,224.0.0.251,UDP,5353,5353
10.24.77.182,224.0.0.251,UDP,5353,5353
10.24.77.220,224.0.0.251,UDP,5353,5353
10.24.74.59,224.0.0.251,UDP,5353,5353
10.24.73.158,224.0.0.251,UDP,5353,5353
10.24.88.103,224.0.0.22,OTHER,-,-
10.24.77.159,224.0.0.251,UDP,5353,5353
10.24.77.234,224.0.0.251,UDP,5353,5353
10.24.73.222,239.255.255.250,UDP,59076,1900
10.24.73.222,224.0.0.251,UDP,5353,5353
10.24.76.189,224.0.0.251,UDP,5353,5353
10.24.75.33,224.0.0.251,UDP,5353,5353
10.24.77.71,10.24.95.255,UDP,138,138
10.24.76.122,10.24.95.255,UDP,138,138
10.24.82.103,224.0.0.22,OTHER,-,-
10.24.73.222,224.0.0.251,UDP,5353,5353
10.24.82.103,239.255.255.250,UDP,65342,1900
10.24.76.34,224.0.0.251,UDP,5353,5353
10.24.77.182,224.0.0.251,UDP,5353,5353
10.24.82.103,224.0.0.252,UDP,54993,5355
10.24.82.103,239.255.255.250,UDP,65342,1900
10.24.77.125,239.255.255.250,UDP,58925,1900
10.24.77.20,239.255.255.250,UDP,62948,1900
10.24.77.90,224.0.0.251,UDP,5353,5353
10.24.77.216,224.0.0.251,UDP,5353,5353
10.24.69.77,224.0.0.251,UDP,5353,5353
10.24.77.2,224.0.0.251,UDP,5353,5353
10.24.76.16,224.0.0.251,UDP,5353,5353
10.24.82.166,224.0.0.251,UDP,5353,5353
10.24.76.73,224.0.0.251,UDP,5353,5353
10.24.82.166,239.255.255.250,UDP,52341,1900
10.24.76.34,224.0.0.251,UDP,5353,5353
10.24.75.154,224.0.0.251,UDP,5353,5353
10.24.77.173,224.0.0.251,UDP,5353,5353
10.24.74.133,224.0.0.251,UDP,5353,5353
10.24.77.205,224.0.0.251,UDP,5353,5353
10.24.73.222,224.0.0.251,UDP,5353,5353
10.24.77.224,224.0.0.251,UDP,5353,5353
10.24.76.62,224.0.0.251,UDP,5353,5353
10.24.74.195,224.0.0.251,UDP,5353,5353
10.24.75.237,224.0.0.251,UDP,5353,5353
0.0.0.0,255.255.255.255,UDP,68,67
10.24.76.192,224.0.0.251,UDP,5353,5353
10.24.82.103,10.24.95.255,UDP,137,137
10.24.82.103,10.24.95.255,UDP,137,137
10.24.75.38,224.0.0.251,UDP,5353,5353
10.24.77.234,224.0.0.251,UDP,5353,5353
10.24.85.34,224.0.0.251,UDP,5353,5353
10.24.75.71,224.0.0.251,UDP,5353,5353
10.24.75.155,224.0.0.251,UDP,5353,5353
10.24.77.163,10.24.95.255,UDP,137,137
10.24.77.138,224.0.0.251,UDP,5353,5353
10.24.77.163,224.0.0.252,UDP,61701,5355
10.24.77.163,224.0.0.252,UDP,56540,5355
10.24.76.146,224.0.0.251,UDP,5353,5353
10.24.76.31,224.0.0.251,UDP,5353,5353
10.24.76.122,224.0.0.251,UDP,5353,5353
10.24.77.150,224.0.0.251,UDP,5353,5353
10.24.77.238,224.0.0.251,UDP,5353,5353
10.24.74.9,224.0.0.251,UDP,5353,5353
10.24.75.183,224.0.0.251,UDP,5353,5353
10.24.76.147,224.0.0.22,OTHER,-,-
10.24.76.147,224.0.0.251,UDP,5353,5353
10.24.76.147,224.0.0.251,UDP,5353,5353
10.24.76.174,224.0.0.251,UDP,5353,5353
10.24.75.147,224.0.0.251,UDP,5353,5353
10.24.80.64,239.255.255.250,UDP,52817,1900
10.24.83.192,224.0.0.251,UDP,5353,5353
10.24.83.192,224.0.0.251,UDP,5353,5353
10.24.74.86,224.0.0.22,OTHER,-,-
10.24.74.86,224.0.0.22,OTHER,-,-
10.24.76.193,224.0.0.251,UDP,5353,5353
10.24.80.64,224.0.0.22,OTHER,-,-
10.24.75.237,224.0.0.251,UDP,5353,5353
10.24.77.234,224.0.0.251,UDP,5353,5353
10.24.75.154,224.0.0.251,UDP,5353,5353
10.24.77.173,224.0.0.251,UDP,5353,5353
10.24.74.9,224.0.0.251,UDP,5353,5353
10.24.85.34,224.0.0.251,UDP,5353,5353
10.24.77.224,224.0.0.251,UDP,5353,5353
10.24.75.71,224.0.0.251,UDP,5353,5353
10.24.76.174,224.0.0.251,UDP,5353,5353
10.24.73.222,224.0.0.251,UDP,5353,5353
10.24.75.29,224.0.0.251,UDP,5353,5353
10.24.77.182,224.0.0.251,UDP,5353,5353
10.24.80.64,224.0.0.22,OTHER,-,-
10.24.80.64,224.0.0.22,OTHER,-,-
10.24.80.64,224.0.0.22,OTHER,-,-
10.24.77.159,224.0.0.251,UDP,5353,5353
10.24.77.163,224.0.0.252,UDP,61701,5355
10.24.77.163,224.0.0.252,UDP,56540,5355
10.24.74.59,224.0.0.251,UDP,5353,5353
10.24.75.38,224.0.0.22,OTHER,-,-
10.24.75.200,224.0.0.251,UDP,5353,5353
